route_id,origin,destination,original_flood_prob,alternative_flood_prob,risk_reduction,original_time_s,alternative_time_s,extra_time_min
10000107D11,Ruiru,Ruaka Stage,0.369,0.0,0.369,1590.6058393721894,1789.0227918788682,3.3
10000114011,Limuru Terminus,Ngara,0.181,0.191,-0.01,1915.869503132337,1982.3138292635879,1.1
10000116011,Limuru Terminus,Koja,0.144,0.144,0.0,1958.5064861194078,1958.5064861194078,0.0
10100011A11,Highridge/Kwa Mosque/Mwisho,Odeon,0.499,0.499,0.0,299.2849483764726,299.2849483764726,0.0
10200010811,Gasolina/Gichagi Mwisho,UNEP/KTTC,0.244,0.244,0.0,400.6957397952932,400.6957397952932,0.0
10300011F11,Ruaka/Banana Junction/Tuskys Supermarket,Odeon,0.53,0.383,0.147,887.879223383893,884.617466443179,-0.1
10300106011,Banana Terminus,Koja,0.275,0.168,0.107,1188.9092784130596,1185.6475214723464,-0.1
10400010711,Karura Stage,Odeon,0.228,0.228,0.0,1175.8781036294636,1175.8781036294636,0.0
20000002311,Westlands Terminal,Koja,0.518,0.518,0.0,237.45754476894376,237.45754476894376,0.0
20000004511,KU,Odeon,0.304,0.329,-0.025,1254.4422827370877,1412.4755827104066,2.6
20000004512,Githurai,Tusker/Ronald Ngala,0.568,0.449,0.119,822.2679825126362,902.3386407035805,1.3
20000145011,Ruiru,Tusker/Ronald Ngala,0.371,0.307,0.064,1313.5541922000803,1403.0911063201092,1.5
20000237011,Thika Town,Town Terminal,0.361,0.3,0.061,1848.5087059963785,1938.045620116407,1.5
20100010011,Kiambu Bus Terminus,OTC,0.479,0.405,0.075,920.6929741645552,929.6468726085419,0.1
20100012011,OTC,Githunguri Terminal,0.216,0.209,0.007,1850.4477356695188,1853.8041102437019,0.1
20100012111,Ndumberi,OTC,0.337,0.279,0.058,1099.7740042136488,1108.727902657635,0.1
20100100A11,Kiambu Hospital,Equity Ngara,0.498,0.481,0.018,836.7538259054836,840.1102004796666,0.1
20101007700,Kariobangi Mwisho,OTC,0.445,0.445,0.0,558.2680678948282,558.2680678948282,0.0
20104003910,Super Highway,Transami,0.313,0.3,0.013,1469.6257243035875,1497.0857745750325,0.5
20400005311,Marurui,Roasters,0.691,0.691,0.0,243.63837504766687,243.63837504766687,0.0
20701293011,Mathare North Terminal,Ngara,0.619,0.499,0.12,459.8532644493694,509.8939860253893,0.8
